Date,Product,Units Sold,Price Per Unit,Revenue
1/1/2020,Desktop,5,1800,9000
1/5/2020,Laptop,6,1500,9000
1/9/2020,Soundsystem,13,800,10400
1/13/2020,Desktop,13,1800,23400
1/17/2020,Soundsystem,3,800,2400
1/21/2020,TV,11,1000,11000
1/25/2020,Laptop,14,1500,21000
1/29/2020,Laptop,10,1500,15000
2/2/2020,Desktop,8,1800,14400
2/6/2020,TV,12,1000,12000
2/10/2020,Soundsystem,2,800,1600
2/14/2020,Laptop,6,1500,9000
2/18/2020,TV,7,1000,7000
2/22/2020,Soundsystem,13,800,10400
2/26/2020,TV,6,1000,6000
3/1/2020,Laptop,6,1500,9000
3/5/2020,Laptop,13,1500,19500
3/9/2020,Laptop,4,1500,6000
3/13/2020,Laptop,14,1500,21000
3/17/2020,Desktop,2,1800,3600
3/21/2020,Desktop,10,1800,18000
3/25/2020,Desktop,14,1800,25200
3/29/2020,Laptop,11,1500,16500
4/2/2020,Laptop,4,1500,6000
4/6/2020,Desktop,4,1800,7200
4/10/2020,TV,15,1000,15000
4/14/2020,Desktop,11,1800,19800
4/18/2020,Desktop,9,1800,16200
4/22/2020,TV,6,1000,6000
4/26/2020,Desktop,12,1800,21600
4/30/2020,Laptop,13,1500,19500
5/4/2020,Soundsystem,8,800,6400
5/8/2020,Laptop,14,1500,21000
5/12/2020,Desktop,7,1800,12600
5/16/2020,TV,4,1000,4000
5/20/2020,Soundsystem,2,800,1600
5/24/2020,Desktop,15,1800,27000
5/28/2020,TV,2,1000,2000
6/1/2020,Desktop,7,1800,12600
6/5/2020,Soundsystem,3,800,2400
6/9/2020,Desktop,10,1800,18000
6/13/2020,TV,7,1000,7000
6/17/2020,Soundsystem,5,800,4000
6/21/2020,Desktop,13,1800,23400
6/25/2020,Soundsystem,14,800,11200
6/29/2020,Laptop,5,1500,7500
7/3/2020,TV,5,1000,5000
7/7/2020,TV,9,1000,9000
7/11/2020,TV,10,1000,10000
7/15/2020,Soundsystem,15,800,12000
7/19/2020,Laptop,4,1500,6000
7/23/2020,Laptop,6,1500,9000
7/27/2020,TV,2,1000,2000
7/31/2020,Desktop,6,1800,10800
8/4/2020,Laptop,8,1500,12000
8/8/2020,Desktop,4,1800,7200
8/12/2020,Desktop,3,1800,5400
8/16/2020,Soundsystem,12,800,9600
8/20/2020,Laptop,4,1500,6000
8/24/2020,Soundsystem,1,800,800
8/28/2020,Desktop,2,1800,3600
9/1/2020,TV,11,1000,11000
9/5/2020,Soundsystem,9,800,7200
9/9/2020,Soundsystem,9,800,7200
9/13/2020,Laptop,4,1500,6000
9/17/2020,Soundsystem,8,800,6400
9/21/2020,Desktop,14,1800,25200
9/25/2020,TV,9,1000,9000
9/29/2020,Desktop,9,1800,16200
10/3/2020,Soundsystem,1,800,800
10/7/2020,Laptop,2,1500,3000
10/11/2020,Soundsystem,1,800,800
10/15/2020,TV,3,1000,3000
10/19/2020,Laptop,6,1500,9000
10/23/2020,Desktop,11,1800,19800
10/27/2020,Desktop,7,1800,12600
10/31/2020,Soundsystem,6,800,4800
11/4/2020,Soundsystem,5,800,4000
11/8/2020,Desktop,12,1800,21600
11/12/2020,TV,11,1000,11000
11/16/2020,Soundsystem,9,800,7200
11/20/2020,TV,1,1000,1000
11/24/2020,TV,13,1000,13000
11/28/2020,Desktop,2,1800,3600
12/2/2020,Desktop,2,1800,3600
12/6/2020,Soundsystem,7,800,5600
12/10/2020,Soundsystem,12,800,9600
12/14/2020,TV,3,1000,3000
12/18/2020,Desktop,8,1800,14400
12/22/2020,Laptop,9,1500,13500
12/26/2020,Soundsystem,7,800,5600
12/30/2020,Laptop,4,1500,6000
